Timestamp,year,CVA,NVA,CCT,FRE,SDG,ECA,LAX,NCT,PAC,ELU,NE,NW,SW,MX
7444,2016,2690.46345229227,406.921805350362,4159.53273754837,1179.54455141867,1453,23.9971838488797,5703.16328746741,515.618957929573,104.918495460751,2908.83952868371,0,0,0,0
7445,2016,2782.8488043584,420.894719280357,4302.36310978836,1220.04784781828,1693,24.8863801008067,5914.48939353383,533.324323493898,108.521195260717,3016.62422636537,0,0,0,0
7446,2016,3005.34600274273,454.546528069959,4646.35008344671,1317.59437194465,1751,26.9231952653769,6398.55825524221,575.965219981615,117.197793814333,3263.51854949241,0,0,0,0
7447,2016,3375.48152902695,510.528041757333,5218.5900957008,1479.86802890255,1932,28.7043665075182,6821.8708614565,646.900543110714,131.631761501658,3479.42477203598,0,0,0,0
7448,2016,3581.9375408789,541.753685427257,5537.77694041716,1570.38182632288,2189,30.2521237335286,7189.71036482836,686.46719605993,139.682810893865,3667.03751143811,0,0,0,0
7449,2016,3586.39342602679,542.427620182723,5544.66586512327,1572.335361519,2224,31.1440987237429,7401.69686497623,687.321152598402,139.856574549812,3775.15903630003,0,0,0,0
7450,2016,3472.61982525082,525.219819426492,5368.76865429397,1522.45509617801,2241,31.983277686499,7601.13587757641,665.51679564941,135.419809201301,3876.88084473709,0,0,0,0
7451,2016,3470.54041218181,524.905316540607,5365.55382276445,1521.54344641982,2280,32.8947038447242,7817.74513629449,665.118282598123,135.338719495192,3987.36015986079,0,0,0,0
7452,2016,3483.90806762546,526.927120807006,5386.22059688278,1527.40405200819,2322,33.7088741628948,8011.24060216155,667.68015221354,135.860010463033,4086.05052367555,0,0,0,0
7453,2016,3524.60515197613,533.082391573595,5449.1394425319,1545.24634013278,2393,34.52860195764,8206.05685619153,675.479621931587,137.447051854015,4185.41454185083,0,0,0,0
7454,2016,3616.99050404225,547.05530550359,5591.96981477189,1585.74963653238,2449,35.5317264793451,8444.45911959771,693.184987495912,141.049751653981,4307.00915392295,0,0,0,0
7455,2016,3757.49941570553,568.306714792617,5809.20057383784,1647.3511130501,2498,35.826272737796,8514.46089223221,720.113083675739,146.529098938174,4342.71283503,0,0,0,0
7456,2016,3825.22886995336,578.5505230757,5913.91222937069,1677.04484803116,2625,35.7845916634869,8504.55498101034,733.093223060518,149.170306508567,4337.66042732617,0,0,0,0
7457,2016,3824.9318109435,578.505594092002,5913.45296772362,1676.91461235142,2744,35.959652175585,8546.15980814217,733.036292624619,149.158722264837,4358.88053968225,0,0,0,0
7458,2016,4054.85548457431,613.280627474047,6268.92148255882,1777.71702847133,2964,37.554647952479,8925.2260108988,777.10045000979,158.124926911698,4552.21934114872,0,0,0,0
7459,2016,4053.07313051515,613.011053571861,6266.16591267638,1776.93561439289,2918,37.39070239353,8886.26276009281,776.758867394401,158.055421449319,4532.34653751366,0,0,0,0
7460,2016,3920.28775310822,592.927797858974,6060.87595643434,1718.72026554844,2804,36.6098769348066,8700.69202320324,751.310962547927,152.877264502101,4437.69809986196,0,0,0,0
7461,2016,3748.2905863999,566.913916297987,5794.96346277855,1643.31380697812,2661,34.9398552241562,8303.79518024725,718.348240162896,146.16998738255,4235.2649645286,0,0,0,0
